season,drugname,drugcost,alternatedrug,alternatedrugcost,no_of_customer_using_drug,no_of_customer_using_alternate_drug,Year,Month,YearMonth
Winter,Metformin,418,Glimepiride,458,876,296,2013,8,2013-08
Summer,Metformin,124,Glimepiride,168,304,143,2014,7,2014-07
Monsoon,Paracetamol,132,Ibuprofen,89,168,319,2019,1,2019-01
Summer,Losartan,329,Telmisartan,366,687,277,2021,1,2021-01
Autumn,Atorvastatin,421,Rosuvastatin,465,923,138,2019,6,2019-06
Monsoon,Amoxicillin,324,Azithromycin,316,426,699,2015,11,2015-11
Winter,Losartan,152,Telmisartan,147,429,593,2015,11,2015-11
Monsoon,Levothyroxine,126,Liothyronine,88,766,228,2016,8,2016-08
Spring,Metformin,488,Glimepiride,467,918,464,2018,3,2018-03
Autumn,Omeprazole,459,Pantoprazole,432,167,202,2018,4,2018-04
Autumn,Salbutamol,432,Terbutaline,460,922,319,2018,7,2018-07
Autumn,Losartan,78,Telmisartan,127,123,621,2024,6,2024-06
Summer,Insulin,442,Glipizide,452,739,788,2012,7,2012-07
Monsoon,Amoxicillin,421,Azithromycin,373,255,260,2017,9,2017-09
Autumn,Amoxicillin,119,Azithromycin,88,160,333,2017,9,2017-09
Spring,Losartan,229,Telmisartan,207,244,771,2024,11,2024-11
Autumn,Omeprazole,50,Pantoprazole,66,211,800,2016,1,2016-01
Monsoon,Metformin,215,Glimepiride,224,131,261,2017,1,2017-01
Spring,Insulin,89,Glipizide,127,512,652,2020,8,2020-08
Winter,Amoxicillin,239,Azithromycin,232,635,206,2013,4,2013-04
Monsoon,Cetirizine,254,Loratadine,286,910,727,2022,4,2022-04
Summer,Atorvastatin,134,Rosuvastatin,165,593,536,2017,6,2017-06
Winter,Metformin,249,Glimepiride,223,281,608,2023,6,2023-06
Summer,Amoxicillin,261,Azithromycin,270,604,460,2014,2,2014-02
Spring,Metformin,319,Glimepiride,278,740,233,2014,6,2014-06
Spring,Levothyroxine,373,Liothyronine,404,484,512,2014,9,2014-09
Winter,Atorvastatin,204,Rosuvastatin,233,760,133,2012,1,2012-01
Spring,Atorvastatin,379,Rosuvastatin,372,574,682,2024,12,2024-12
Spring,Amoxicillin,353,Azithromycin,308,348,154,2022,3,2022-03
Spring,Losartan,279,Telmisartan,295,385,523,2010,1,2010-01
Spring,Paracetamol,385,Ibuprofen,408,365,478,2023,5,2023-05
Autumn,Levothyroxine,391,Liothyronine,343,865,596,2014,6,2014-06
Monsoon,Levothyroxine,234,Liothyronine,224,886,356,2010,8,2010-08
Spring,Salbutamol,390,Terbutaline,342,866,228,2015,8,2015-08
Summer,Amoxicillin,376,Azithromycin,409,378,767,2024,10,2024-10
Spring,Salbutamol,341,Terbutaline,305,663,720,2022,8,2022-08
Spring,Cetirizine,141,Loratadine,133,529,365,2024,2,2024-02
Spring,Insulin,360,Glipizide,328,545,213,2020,1,2020-01
Autumn,Salbutamol,188,Terbutaline,160,865,651,2024,11,2024-11
Winter,Salbutamol,192,Terbutaline,220,266,429,2020,8,2020-08
Winter,Cetirizine,86,Loratadine,120,760,462,2012,10,2012-10
Monsoon,Cetirizine,384,Loratadine,377,780,449,2023,2,2023-02
Monsoon,Amoxicillin,483,Azithromycin,465,901,195,2012,6,2012-06
Autumn,Paracetamol,454,Ibuprofen,405,931,599,2023,5,2023-05
Winter,Insulin,464,Glipizide,422,689,761,2017,12,2017-12
Spring,Atorvastatin,131,Rosuvastatin,120,491,89,2022,10,2022-10
Spring,Paracetamol,392,Ibuprofen,421,415,471,2018,8,2018-08
Summer,Omeprazole,393,Pantoprazole,408,437,471,2017,12,2017-12
Monsoon,Levothyroxine,138,Liothyronine,88,919,354,2020,2,2020-02
Autumn,Metformin,343,Glimepiride,380,362,413,2024,3,2024-03
Spring,Cetirizine,99,Loratadine,128,984,680,2010,8,2010-08
Autumn,Cetirizine,329,Loratadine,340,181,385,2016,3,2016-03
Monsoon,Cetirizine,220,Loratadine,269,425,732,2014,10,2014-10
Spring,Salbutamol,210,Terbutaline,260,763,178,2013,11,2013-11
Monsoon,Omeprazole,222,Pantoprazole,194,872,213,2024,6,2024-06
Autumn,Omeprazole,396,Pantoprazole,380,420,610,2014,7,2014-07
Autumn,Atorvastatin,454,Rosuvastatin,474,154,694,2011,9,2011-09
Autumn,Cetirizine,226,Loratadine,236,863,553,2016,9,2016-09
Spring,Levothyroxine,354,Liothyronine,346,873,470,2019,6,2019-06
Monsoon,Amoxicillin,282,Azithromycin,290,512,558,2018,10,2018-10
Spring,Salbutamol,252,Terbutaline,296,302,510,2019,5,2019-05
Autumn,Metformin,152,Glimepiride,202,397,753,2012,3,2012-03
Autumn,Levothyroxine,222,Liothyronine,181,142,79,2013,4,2013-04
Spring,Salbutamol,444,Terbutaline,424,855,84,2023,11,2023-11
Spring,Paracetamol,345,Ibuprofen,298,164,337,2012,1,2012-01
Monsoon,Amoxicillin,97,Azithromycin,104,812,798,2024,10,2024-10
Winter,Insulin,463,Glipizide,425,571,105,2014,6,2014-06
Spring,Cetirizine,426,Loratadine,397,141,488,2017,10,2017-10
Autumn,Losartan,258,Telmisartan,251,949,425,2022,8,2022-08
Spring,Atorvastatin,97,Rosuvastatin,123,177,617,2014,11,2014-11
Spring,Cetirizine,496,Loratadine,488,338,167,2011,8,2011-08
Monsoon,Atorvastatin,424,Rosuvastatin,416,553,239,2023,8,2023-08
Monsoon,Amoxicillin,436,Azithromycin,460,905,298,2012,11,2012-11
Winter,Paracetamol,67,Ibuprofen,116,166,180,2013,6,2013-06
Summer,Amoxicillin,359,Azithromycin,330,484,356,2014,8,2014-08
Monsoon,Levothyroxine,149,Liothyronine,120,606,459,2014,8,2014-08
Spring,Levothyroxine,260,Liothyronine,308,231,657,2022,7,2022-07
Winter,Levothyroxine,195,Liothyronine,228,448,238,2023,10,2023-10
Winter,Levothyroxine,233,Liothyronine,184,781,487,2024,12,2024-12
Monsoon,Insulin,262,Glipizide,223,550,187,2016,12,2016-12
Spring,Omeprazole,321,Pantoprazole,273,478,154,2013,4,2013-04
Winter,Metformin,346,Glimepiride,378,452,767,2014,11,2014-11
Spring,Amoxicillin,57,Azithromycin,76,194,479,2017,12,2017-12
Spring,Omeprazole,266,Pantoprazole,280,693,85,2017,2,2017-02
Summer,Amoxicillin,274,Azithromycin,262,894,292,2024,9,2024-09
Monsoon,Salbutamol,79,Terbutaline,57,962,791,2019,7,2019-07
Autumn,Atorvastatin,451,Rosuvastatin,488,861,73,2019,8,2019-08
Spring,Levothyroxine,191,Liothyronine,155,631,493,2023,12,2023-12
Summer,Paracetamol,173,Ibuprofen,147,281,449,2021,10,2021-10
Summer,Paracetamol,82,Ibuprofen,115,597,563,2012,7,2012-07
Monsoon,Salbutamol,190,Terbutaline,157,476,61,2024,2,2024-02
Summer,Paracetamol,119,Ibuprofen,114,140,93,2021,5,2021-05
Autumn,Metformin,330,Glimepiride,365,493,117,2016,6,2016-06
Winter,Metformin,186,Glimepiride,163,548,765,2021,2,2021-02
Winter,Paracetamol,220,Ibuprofen,175,368,215,2024,5,2024-05
Spring,Metformin,321,Glimepiride,369,911,234,2021,4,2021-04
Winter,Losartan,234,Telmisartan,272,657,569,2014,2,2014-02
Autumn,Atorvastatin,213,Rosuvastatin,176,206,105,2014,9,2014-09
Monsoon,Levothyroxine,147,Liothyronine,197,546,51,2013,10,2013-10
Winter,Insulin,417,Glipizide,427,175,105,2019,9,2019-09
Autumn,Salbutamol,294,Terbutaline,321,405,449,2015,4,2015-04
Autumn,Cetirizine,490,Loratadine,462,882,52,2012,3,2012-03
Autumn,Omeprazole,335,Pantoprazole,344,908,722,2020,10,2020-10
Autumn,Cetirizine,173,Loratadine,149,970,571,2013,6,2013-06
Monsoon,Salbutamol,418,Terbutaline,448,716,219,2010,7,2010-07
Monsoon,Amoxicillin,120,Azithromycin,71,420,565,2012,7,2012-07
Winter,Metformin,412,Glimepiride,445,636,585,2014,8,2014-08
Winter,Salbutamol,57,Terbutaline,69,565,427,2010,3,2010-03
Spring,Paracetamol,395,Ibuprofen,406,505,498,2012,1,2012-01
Autumn,Amoxicillin,412,Azithromycin,402,976,669,2022,1,2022-01
Autumn,Omeprazole,162,Pantoprazole,118,356,744,2011,3,2011-03
Summer,Insulin,412,Glipizide,428,851,584,2011,12,2011-12
Spring,Paracetamol,161,Ibuprofen,127,183,791,2011,5,2011-05
Autumn,Omeprazole,412,Pantoprazole,431,926,194,2013,1,2013-01
Autumn,Levothyroxine,115,Liothyronine,85,937,781,2013,3,2013-03
Winter,Losartan,470,Telmisartan,433,922,570,2020,7,2020-07
Spring,Amoxicillin,311,Azithromycin,273,448,700,2015,2,2015-02
Spring,Insulin,472,Glipizide,512,258,733,2023,3,2023-03
Summer,Levothyroxine,91,Liothyronine,85,216,727,2022,10,2022-10
Autumn,Losartan,333,Telmisartan,287,186,340,2013,8,2013-08
Winter,Atorvastatin,276,Rosuvastatin,240,721,502,2013,7,2013-07
Spring,Salbutamol,365,Terbutaline,341,707,394,2016,3,2016-03
Summer,Levothyroxine,66,Liothyronine,37,163,420,2018,9,2018-09
Summer,Metformin,478,Glimepiride,486,254,763,2015,2,2015-02
Spring,Amoxicillin,399,Azithromycin,421,683,308,2019,5,2019-05
Summer,Cetirizine,155,Loratadine,148,781,374,2020,7,2020-07
Winter,Insulin,355,Glipizide,369,389,318,2018,9,2018-09
Autumn,Paracetamol,385,Ibuprofen,337,357,338,2013,9,2013-09
Summer,Amoxicillin,130,Azithromycin,170,176,210,2010,7,2010-07
Monsoon,Amoxicillin,464,Azithromycin,418,101,269,2016,8,2016-08
Monsoon,Amoxicillin,326,Azithromycin,355,805,543,2020,1,2020-01
Autumn,Atorvastatin,339,Rosuvastatin,314,668,598,2014,7,2014-07
Summer,Cetirizine,295,Loratadine,308,117,290,2017,6,2017-06
Monsoon,Salbutamol,408,Terbutaline,403,405,317,2022,7,2022-07
Monsoon,Metformin,282,Glimepiride,294,830,304,2011,1,2011-01
Summer,Salbutamol,189,Terbutaline,153,548,132,2013,7,2013-07
Summer,Insulin,55,Glipizide,75,809,119,2011,3,2011-03
Winter,Metformin,152,Glimepiride,108,256,294,2013,9,2013-09
Monsoon,Levothyroxine,123,Liothyronine,107,738,725,2014,6,2014-06
Winter,Metformin,408,Glimepiride,441,543,395,2021,11,2021-11
Summer,Paracetamol,135,Ibuprofen,127,553,786,2013,11,2013-11
Summer,Salbutamol,316,Terbutaline,297,412,700,2016,10,2016-10
Summer,Levothyroxine,100,Liothyronine,89,807,741,2013,12,2013-12
Spring,Losartan,54,Telmisartan,65,397,434,2022,7,2022-07
Spring,Atorvastatin,66,Rosuvastatin,78,117,680,2017,3,2017-03
Monsoon,Amoxicillin,132,Azithromycin,152,782,660,2021,6,2021-06
Spring,Omeprazole,249,Pantoprazole,290,275,463,2012,5,2012-05
Spring,Amoxicillin,428,Azithromycin,387,956,548,2019,3,2019-03
Winter,Salbutamol,406,Terbutaline,433,871,513,2018,12,2018-12
Winter,Metformin,296,Glimepiride,250,347,496,2015,12,2015-12
Winter,Insulin,363,Glipizide,339,782,723,2012,2,2012-02
Summer,Insulin,87,Glipizide,72,550,475,2020,8,2020-08
Spring,Atorvastatin,219,Rosuvastatin,210,115,82,2013,2,2013-02
Spring,Losartan,289,Telmisartan,301,438,216,2018,7,2018-07
Summer,Amoxicillin,212,Azithromycin,255,597,267,2019,4,2019-04
Autumn,Paracetamol,388,Ibuprofen,434,997,731,2021,4,2021-04
Summer,Metformin,407,Glimepiride,436,339,470,2018,4,2018-04
Spring,Insulin,87,Glipizide,80,401,70,2016,5,2016-05
Summer,Cetirizine,120,Loratadine,162,355,288,2023,10,2023-10
Autumn,Atorvastatin,293,Rosuvastatin,265,439,739,2020,4,2020-04
Summer,Losartan,325,Telmisartan,346,440,612,2016,12,2016-12
Summer,Atorvastatin,307,Rosuvastatin,264,379,84,2013,9,2013-09
Autumn,Atorvastatin,174,Rosuvastatin,186,190,443,2019,5,2019-05
Spring,Cetirizine,465,Loratadine,441,187,304,2016,10,2016-10
Winter,Metformin,295,Glimepiride,314,876,288,2023,12,2023-12
Spring,Amoxicillin,354,Azithromycin,374,513,172,2016,5,2016-05
Spring,Omeprazole,210,Pantoprazole,222,913,566,2024,10,2024-10
Summer,Atorvastatin,345,Rosuvastatin,309,725,782,2021,1,2021-01
Autumn,Salbutamol,324,Terbutaline,289,686,291,2023,6,2023-06
Winter,Metformin,466,Glimepiride,474,229,499,2016,6,2016-06
Autumn,Metformin,194,Glimepiride,227,881,252,2024,5,2024-05
Winter,Insulin,374,Glipizide,412,824,443,2013,3,2013-03
Autumn,Insulin,85,Glipizide,51,381,763,2019,9,2019-09
Monsoon,Amoxicillin,214,Azithromycin,196,202,229,2010,5,2010-05
Winter,Paracetamol,429,Ibuprofen,448,242,154,2011,10,2011-10
Winter,Cetirizine,191,Loratadine,235,723,747,2014,8,2014-08
Spring,Insulin,491,Glipizide,509,413,485,2018,2,2018-02
Autumn,Atorvastatin,54,Rosuvastatin,31,942,404,2011,12,2011-12
Summer,Omeprazole,472,Pantoprazole,432,249,329,2012,4,2012-04
Summer,Metformin,475,Glimepiride,453,561,299,2022,4,2022-04
Autumn,Salbutamol,419,Terbutaline,396,979,597,2019,5,2019-05
Spring,Paracetamol,388,Ibuprofen,383,214,395,2018,10,2018-10
Winter,Levothyroxine,245,Liothyronine,253,889,392,2024,9,2024-09
Winter,Atorvastatin,444,Rosuvastatin,469,693,294,2023,8,2023-08
Monsoon,Levothyroxine,414,Liothyronine,401,154,580,2022,12,2022-12
Monsoon,Losartan,435,Telmisartan,423,375,112,2015,7,2015-07
Autumn,Insulin,184,Glipizide,177,446,481,2024,5,2024-05
Monsoon,Salbutamol,272,Terbutaline,225,277,536,2023,8,2023-08
Spring,Amoxicillin,117,Azithromycin,109,312,283,2014,12,2014-12
Monsoon,Insulin,189,Glipizide,226,407,560,2020,4,2020-04
Summer,Insulin,311,Glipizide,360,703,761,2012,11,2012-11
Spring,Omeprazole,105,Pantoprazole,98,748,738,2012,9,2012-09
Summer,Omeprazole,264,Pantoprazole,284,296,170,2016,3,2016-03
Autumn,Cetirizine,376,Loratadine,367,706,631,2022,4,2022-04
Monsoon,Losartan,196,Telmisartan,159,885,475,2015,1,2015-01
Winter,Salbutamol,236,Terbutaline,255,192,774,2024,8,2024-08
Monsoon,Amoxicillin,55,Azithromycin,32,293,431,2011,8,2011-08
Summer,Levothyroxine,70,Liothyronine,54,581,581,2022,5,2022-05
Winter,Metformin,432,Glimepiride,404,411,348,2019,7,2019-07
Monsoon,Omeprazole,300,Pantoprazole,274,650,79,2020,2,2020-02
Summer,Metformin,428,Glimepiride,410,659,585,2021,11,2021-11
Monsoon,Losartan,90,Telmisartan,108,969,218,2018,11,2018-11
Autumn,Insulin,72,Glipizide,80,650,230,2016,1,2016-01
Summer,Paracetamol,365,Ibuprofen,389,462,159,2010,5,2010-05
Winter,Losartan,177,Telmisartan,165,567,186,2017,1,2017-01
Monsoon,Insulin,333,Glipizide,312,685,563,2014,6,2014-06
Winter,Atorvastatin,146,Rosuvastatin,165,954,582,2011,9,2011-09
Spring,Paracetamol,462,Ibuprofen,431,667,285,2013,3,2013-03
Spring,Atorvastatin,151,Rosuvastatin,165,878,721,2024,4,2024-04
Winter,Levothyroxine,385,Liothyronine,368,821,506,2017,1,2017-01
Winter,Losartan,327,Telmisartan,351,971,211,2020,8,2020-08
Autumn,Paracetamol,75,Ibuprofen,55,228,628,2015,7,2015-07
Monsoon,Cetirizine,472,Loratadine,444,110,125,2021,2,2021-02
Spring,Levothyroxine,165,Liothyronine,132,109,58,2024,9,2024-09
Spring,Atorvastatin,376,Rosuvastatin,347,363,214,2018,4,2018-04
Winter,Levothyroxine,120,Liothyronine,127,309,528,2019,2,2019-02
Summer,Levothyroxine,238,Liothyronine,256,520,358,2024,11,2024-11
Autumn,Losartan,377,Telmisartan,385,106,599,2023,9,2023-09
Winter,Losartan,115,Telmisartan,77,113,300,2020,11,2020-11
Summer,Paracetamol,370,Ibuprofen,343,324,798,2023,10,2023-10
Monsoon,Amoxicillin,273,Azithromycin,304,636,565,2010,4,2010-04
Summer,Cetirizine,170,Loratadine,140,558,449,2024,6,2024-06
Monsoon,Insulin,67,Glipizide,107,818,482,2010,12,2010-12
Monsoon,Atorvastatin,377,Rosuvastatin,358,801,382,2010,6,2010-06
Winter,Salbutamol,487,Terbutaline,450,684,579,2013,11,2013-11
Spring,Salbutamol,110,Terbutaline,66,519,212,2013,11,2013-11
Monsoon,Metformin,268,Glimepiride,275,722,439,2017,1,2017-01
Summer,Cetirizine,285,Loratadine,259,659,412,2014,4,2014-04
Spring,Paracetamol,120,Ibuprofen,92,897,546,2010,4,2010-04
Winter,Levothyroxine,401,Liothyronine,433,445,741,2019,2,2019-02
Winter,Cetirizine,409,Loratadine,445,455,585,2022,12,2022-12
Monsoon,Insulin,271,Glipizide,264,782,611,2016,7,2016-07
Spring,Salbutamol,455,Terbutaline,470,753,485,2016,12,2016-12
Autumn,Paracetamol,390,Ibuprofen,437,785,112,2023,4,2023-04
Winter,Salbutamol,280,Terbutaline,309,553,520,2011,5,2011-05
Spring,Salbutamol,255,Terbutaline,292,564,737,2022,12,2022-12
Winter,Insulin,395,Glipizide,424,155,138,2014,11,2014-11
Summer,Paracetamol,113,Ibuprofen,138,665,538,2020,2,2020-02
Autumn,Amoxicillin,146,Azithromycin,177,858,546,2021,9,2021-09
Autumn,Amoxicillin,95,Azithromycin,52,713,421,2010,3,2010-03
Summer,Salbutamol,60,Terbutaline,11,477,700,2017,3,2017-03
Spring,Salbutamol,103,Terbutaline,91,279,589,2016,10,2016-10
Spring,Atorvastatin,433,Rosuvastatin,463,815,365,2015,8,2015-08
Winter,Amoxicillin,335,Azithromycin,361,340,532,2019,6,2019-06
Summer,Cetirizine,108,Loratadine,142,378,444,2015,3,2015-03
Summer,Paracetamol,342,Ibuprofen,369,292,693,2017,6,2017-06
Summer,Salbutamol,370,Terbutaline,355,684,670,2014,5,2014-05
Summer,Atorvastatin,359,Rosuvastatin,385,308,753,2017,2,2017-02
Autumn,Amoxicillin,160,Azithromycin,127,859,475,2023,11,2023-11
Summer,Metformin,50,Glimepiride,84,740,170,2017,4,2017-04
Autumn,Paracetamol,108,Ibuprofen,75,346,707,2024,8,2024-08
Spring,Levothyroxine,120,Liothyronine,155,398,198,2016,10,2016-10
Monsoon,Cetirizine,374,Loratadine,416,199,87,2014,7,2014-07
Summer,Salbutamol,386,Terbutaline,415,633,744,2017,12,2017-12
Monsoon,Paracetamol,480,Ibuprofen,527,775,78,2011,3,2011-03
Autumn,Metformin,80,Glimepiride,124,782,447,2011,11,2011-11
Winter,Losartan,236,Telmisartan,260,856,357,2021,6,2021-06
Monsoon,Paracetamol,108,Ibuprofen,133,539,240,2019,2,2019-02
Summer,Paracetamol,361,Ibuprofen,328,491,573,2015,7,2015-07
Summer,Omeprazole,205,Pantoprazole,211,910,196,2018,5,2018-05
Spring,Salbutamol,385,Terbutaline,396,101,268,2019,4,2019-04
Spring,Losartan,255,Telmisartan,208,261,596,2021,4,2021-04
Autumn,Cetirizine,337,Loratadine,301,239,278,2017,6,2017-06
Monsoon,Atorvastatin,348,Rosuvastatin,318,874,662,2014,10,2014-10
Autumn,Amoxicillin,187,Azithromycin,159,655,92,2020,4,2020-04
Monsoon,Insulin,107,Glipizide,93,226,407,2016,1,2016-01
Monsoon,Amoxicillin,114,Azithromycin,92,358,185,2024,2,2024-02
Summer,Omeprazole,394,Pantoprazole,429,916,86,2012,8,2012-08
Winter,Cetirizine,308,Loratadine,349,903,451,2012,1,2012-01
Spring,Omeprazole,95,Pantoprazole,48,738,469,2014,5,2014-05
Winter,Omeprazole,63,Pantoprazole,111,224,453,2021,7,2021-07
Autumn,Amoxicillin,53,Azithromycin,6,963,433,2023,9,2023-09
Winter,Losartan,129,Telmisartan,150,654,425,2015,1,2015-01
Autumn,Losartan,127,Telmisartan,157,692,736,2021,12,2021-12
Autumn,Levothyroxine,196,Liothyronine,149,977,304,2024,1,2024-01
Spring,Amoxicillin,230,Azithromycin,192,346,191,2021,1,2021-01
Winter,Paracetamol,382,Ibuprofen,414,298,351,2020,10,2020-10
Summer,Losartan,82,Telmisartan,44,315,420,2013,3,2013-03
Spring,Salbutamol,485,Terbutaline,456,123,604,2014,6,2014-06
Summer,Insulin,403,Glipizide,360,941,98,2019,6,2019-06
Monsoon,Levothyroxine,177,Liothyronine,207,731,534,2015,3,2015-03
Autumn,Insulin,105,Glipizide,116,506,493,2019,8,2019-08
Winter,Losartan,268,Telmisartan,244,212,325,2010,4,2010-04
Summer,Salbutamol,98,Terbutaline,135,978,466,2011,5,2011-05
Monsoon,Omeprazole,268,Pantoprazole,299,572,78,2013,1,2013-01
Winter,Amoxicillin,68,Azithromycin,87,765,408,2014,7,2014-07
Autumn,Insulin,121,Glipizide,81,528,458,2010,1,2010-01
Monsoon,Levothyroxine,475,Liothyronine,427,804,398,2021,3,2021-03
Monsoon,Amoxicillin,439,Azithromycin,483,256,796,2012,6,2012-06
Winter,Cetirizine,381,Loratadine,347,640,759,2018,7,2018-07
Spring,Insulin,411,Glipizide,400,817,797,2019,1,2019-01
Summer,Paracetamol,420,Ibuprofen,460,396,376,2011,5,2011-05
Spring,Atorvastatin,295,Rosuvastatin,282,956,307,2018,3,2018-03
Spring,Amoxicillin,237,Azithromycin,200,461,102,2022,5,2022-05
Summer,Cetirizine,468,Loratadine,511,635,400,2011,8,2011-08
Winter,Losartan,381,Telmisartan,412,942,551,2013,1,2013-01
Spring,Atorvastatin,496,Rosuvastatin,541,739,161,2013,3,2013-03
Summer,Amoxicillin,283,Azithromycin,241,165,158,2014,12,2014-12
Spring,Omeprazole,83,Pantoprazole,103,897,139,2022,5,2022-05
Monsoon,Omeprazole,175,Pantoprazole,225,377,631,2023,10,2023-10
Summer,Paracetamol,203,Ibuprofen,185,976,372,2024,7,2024-07
Spring,Omeprazole,339,Pantoprazole,345,890,562,2011,9,2011-09
Spring,Amoxicillin,451,Azithromycin,477,622,371,2010,5,2010-05
Monsoon,Insulin,276,Glipizide,239,584,223,2010,6,2010-06
Winter,Paracetamol,208,Ibuprofen,201,693,423,2018,8,2018-08
Autumn,Salbutamol,269,Terbutaline,287,208,415,2011,8,2011-08
Monsoon,Omeprazole,393,Pantoprazole,383,506,791,2014,11,2014-11
Monsoon,Omeprazole,490,Pantoprazole,481,749,258,2021,7,2021-07
Autumn,Omeprazole,491,Pantoprazole,452,619,274,2019,10,2019-10
Summer,Atorvastatin,418,Rosuvastatin,413,924,546,2010,11,2010-11
Summer,Salbutamol,134,Terbutaline,93,763,154,2022,7,2022-07
Spring,Paracetamol,198,Ibuprofen,216,971,468,2020,5,2020-05
Spring,Atorvastatin,73,Rosuvastatin,35,901,350,2013,10,2013-10
Autumn,Paracetamol,491,Ibuprofen,478,594,549,2016,8,2016-08
Monsoon,Insulin,191,Glipizide,161,468,509,2014,3,2014-03
Autumn,Cetirizine,237,Loratadine,271,216,318,2018,1,2018-01
Spring,Losartan,217,Telmisartan,262,881,715,2012,2,2012-02
Autumn,Metformin,103,Glimepiride,145,297,419,2012,2,2012-02
Monsoon,Paracetamol,495,Ibuprofen,525,128,247,2012,4,2012-04
Summer,Paracetamol,106,Ibuprofen,130,176,320,2012,5,2012-05
Autumn,Insulin,237,Glipizide,221,550,739,2016,1,2016-01
Monsoon,Metformin,432,Glimepiride,407,335,162,2011,7,2011-07
Monsoon,Losartan,153,Telmisartan,167,486,597,2010,7,2010-07
Summer,Losartan,203,Telmisartan,156,997,621,2015,5,2015-05
Monsoon,Atorvastatin,59,Rosuvastatin,42,313,727,2013,5,2013-05
Autumn,Metformin,214,Glimepiride,222,474,367,2012,7,2012-07
Autumn,Salbutamol,143,Terbutaline,181,792,413,2022,3,2022-03
Spring,Paracetamol,167,Ibuprofen,128,977,165,2015,7,2015-07
Autumn,Amoxicillin,411,Azithromycin,457,719,559,2022,9,2022-09
Autumn,Omeprazole,462,Pantoprazole,445,121,755,2023,8,2023-08
Winter,Omeprazole,137,Pantoprazole,93,571,756,2012,11,2012-11
Autumn,Insulin,193,Glipizide,206,961,583,2010,6,2010-06
Summer,Cetirizine,192,Loratadine,199,633,474,2021,7,2021-07
Summer,Cetirizine,274,Loratadine,224,409,676,2011,2,2011-02
Spring,Metformin,274,Glimepiride,262,139,484,2022,7,2022-07
Summer,Omeprazole,163,Pantoprazole,200,924,673,2018,10,2018-10
Monsoon,Insulin,96,Glipizide,84,284,649,2012,5,2012-05
Winter,Metformin,201,Glimepiride,217,409,64,2012,4,2012-04
Spring,Losartan,108,Telmisartan,120,390,744,2022,11,2022-11
Monsoon,Insulin,204,Glipizide,188,768,434,2022,7,2022-07
Monsoon,Cetirizine,301,Loratadine,255,350,79,2011,6,2011-06
Summer,Salbutamol,291,Terbutaline,338,371,143,2013,9,2013-09
Monsoon,Metformin,419,Glimepiride,393,656,749,2017,7,2017-07
Autumn,Omeprazole,144,Pantoprazole,183,503,112,2017,11,2017-11
Autumn,Levothyroxine,407,Liothyronine,384,165,123,2017,6,2017-06
Spring,Omeprazole,464,Pantoprazole,479,639,688,2015,3,2015-03
Monsoon,Insulin,236,Glipizide,283,508,186,2022,12,2022-12
Summer,Atorvastatin,345,Rosuvastatin,390,306,328,2012,6,2012-06
Autumn,Cetirizine,275,Loratadine,319,421,432,2013,10,2013-10
Summer,Losartan,460,Telmisartan,445,131,196,2012,7,2012-07
Summer,Losartan,469,Telmisartan,444,443,224,2020,3,2020-03
Monsoon,Metformin,90,Glimepiride,131,558,140,2015,8,2015-08
Autumn,Salbutamol,449,Terbutaline,430,369,533,2018,7,2018-07
Summer,Salbutamol,428,Terbutaline,435,109,191,2018,3,2018-03
Winter,Levothyroxine,119,Liothyronine,126,573,122,2010,2,2010-02
Monsoon,Omeprazole,370,Pantoprazole,335,937,252,2020,11,2020-11
Spring,Amoxicillin,88,Azithromycin,80,317,63,2016,9,2016-09
Winter,Amoxicillin,277,Azithromycin,241,369,138,2012,10,2012-10
Autumn,Insulin,203,Glipizide,161,540,164,2019,5,2019-05
Summer,Salbutamol,104,Terbutaline,125,327,572,2014,11,2014-11
Winter,Paracetamol,79,Ibuprofen,49,524,485,2022,9,2022-09
Summer,Metformin,344,Glimepiride,301,166,709,2014,10,2014-10
Monsoon,Losartan,100,Telmisartan,139,956,65,2010,9,2010-09
Spring,Paracetamol,189,Ibuprofen,160,771,460,2014,10,2014-10
Autumn,Omeprazole,192,Pantoprazole,236,532,126,2011,10,2011-10
Monsoon,Salbutamol,484,Terbutaline,504,725,218,2024,8,2024-08
Winter,Paracetamol,260,Ibuprofen,271,801,506,2023,5,2023-05
Monsoon,Paracetamol,440,Ibuprofen,486,288,695,2022,1,2022-01
Summer,Insulin,197,Glipizide,220,115,514,2010,10,2010-10
Spring,Cetirizine,244,Loratadine,225,612,622,2013,3,2013-03
Summer,Omeprazole,260,Pantoprazole,298,796,331,2015,8,2015-08
Winter,Salbutamol,394,Terbutaline,427,450,703,2020,3,2020-03
Spring,Paracetamol,493,Ibuprofen,457,844,451,2016,7,2016-07
Winter,Losartan,359,Telmisartan,348,853,652,2020,7,2020-07
Spring,Levothyroxine,372,Liothyronine,353,223,185,2013,9,2013-09
Summer,Levothyroxine,332,Liothyronine,365,325,382,2012,9,2012-09
Autumn,Omeprazole,442,Pantoprazole,417,162,78,2014,8,2014-08
Monsoon,Salbutamol,113,Terbutaline,78,818,206,2016,2,2016-02
Winter,Metformin,415,Glimepiride,437,394,556,2018,1,2018-01
Autumn,Levothyroxine,300,Liothyronine,310,903,531,2021,3,2021-03
Winter,Atorvastatin,195,Rosuvastatin,231,102,175,2015,11,2015-11
